cell_line,treatment,replicate,Assay,time,Ct,Norm2ref
A,Control,1,JUNB,24.0,26.85371,0.0256889037626
A,Control,1,JUNB,48.0,26.71669,0.0266115159972
A,Control,1,JUNB,72.0,26.94626,0.0331350374247
A,Control,1,JUNB,96.0,26.58085,0.0388141276911
A,Control,1,LARP6,0.5,25.65731,0.0621061432364
A,Control,1,LARP6,1.0,25.18632,0.0695604920618
A,Control,1,LARP6,2.0,25.6875,0.0574860526322
A,Control,1,LARP6,3.0,26.04356,0.0548900855099
A,Control,1,LARP6,4.0,25.59515,0.066200980209
A,Control,1,LARP6,8.0,26.00846,0.0612381462041
A,Control,1,LARP6,12.0,26.43517,0.0381060837361
A,Control,1,LARP6,24.0,25.64192,0.0595018830759
A,Control,1,LARP6,48.0,25.454,0.0638523934791
A,Control,1,LARP6,72.0,25.78767,0.0739703729079
A,Control,1,LARP6,96.0,25.74855,0.0691093957313
A,Control,1,LOXL1,0.5,23.93974,0.204255918867
A,Control,1,LOXL1,1.0,23.56009,0.214736888186
A,Control,1,LOXL1,2.0,24.12825,0.169411742289
A,Control,1,LOXL1,3.0,24.10428,0.210511272913
A,Control,1,LOXL1,4.0,24.05117,0.193040623933
A,Control,1,LOXL1,8.0,24.3077,0.199068163882
A,Control,1,LOXL1,12.0,23.84007,0.230248738379
A,Control,1,LOXL1,24.0,23.64127,0.238114789726
A,Control,1,LOXL1,48.0,23.87137,0.191247727468
A,Control,1,LOXL1,72.0,23.90156,0.27342202363
A,Control,1,LOXL1,96.0,23.80076,0.266612379476
A,Control,1,LOXL2,0.5,25.9903,0.0493054108854
A,Control,1,LOXL2,1.0,25.96533,0.0405375286446
A,Control,1,LOXL2,2.0,25.64736,0.0591079411432
A,Control,1,LOXL2,3.0,26.00092,0.0565366180997
A,Control,1,LOXL2,4.0,25.81234,0.0569486869518
A,Control,1,LOXL2,8.0,26.43703,0.0454998128227
A,Control,1,LOXL2,12.0,26.50893,0.0362068168349
A,Control,1,LOXL2,24.0,26.80159,0.0266339300705
A,Control,1,LOXL2,48.0,26.35996,0.0340765835178
A,Control,1,LOXL2,72.0,26.23879,0.0541074611739
A,Control,1,LOXL2,96.0,26.68212,0.0361829958701
A,Control,1,LTBP2,0.5,23.43805,0.289200066688
A,Control,1,LTBP2,1.0,23.14706,0.285917721626
A,Control,1,LTBP2,2.0,23.42805,0.275248342168
A,Control,1,LTBP2,3.0,23.82989,0.254609719151
A,Control,1,LTBP2,4.0,23.4225,0.298467632005
A,Control,1,LTBP2,8.0,23.75155,0.292697924446
A,Control,1,LTBP2,12.0,23.61263,0.269565011285
A,Control,1,LTBP2,24.0,23.44115,0.273544819131
A,Control,1,LTBP2,48.0,23.27595,0.288958559288
A,Control,1,LTBP2,72.0,23.77884,0.297697984468
A,Control,1,LTBP2,96.0,23.99394,0.23319935042
A,Control,1,MMP1,0.5,25.17995,0.0864637842486
A,Control,1,MMP1,1.0,24.7941,0.0912919808285
A,Control,1,MMP1,2.0,25.42124,0.069137669279
A,Control,1,MMP1,3.0,25.32047,0.0906078211238
A,Control,1,MMP1,4.0,25.39948,0.075817063423
A,Control,1,MMP1,8.0,25.59176,0.0817450068376
A,Control,1,MMP1,12.0,26.13883,0.0467952257104
